material_number|connection_type|connection_size
1009905|C|0.375
1000619|C|0.625
1006841|C|0.875
1009056|C|0.875
1006792|C|1.125
1006793|C|1.375
1006794|C|1.625
1006795|C|2.125
1009626|C|2.625
489-5260|C|3.125
1007597|C|0.875
1009377|C|0.375
458394|C|0.625
1009053|C|0.875
473576|C|1.125
458982|C|1.375
459733|C|1.625
1006747|C|2.125
1009103|FTG|1.625
1015950|C|1.125
1011613|SWT|0.75
1009663|C|0.375
1006569|C|0.5
1006525|C|0.625
1006563|C|0.75
458391|C|0.875
1006526|C|1.125
458983|C|1.375
459729|C|1.625
474692|C|2.125
1009661|C|2.625
474694|C|3.125
1012949|C|4.125
1006521|C|0.25
473517|C|0.375
1009664|C|0.375
465464|C|0.5
1008914|C|0.5
465443|C|0.625
465444|C|0.875
1006588|C|0.875
465445|C|1.125
1000579|C|1.125
465446|C|1.375
1000578|C|1.375
465447|C|1.625
1000577|C|1.625
465448|C|2.125
1000576|C|2.125
1006587|C|2.625
1012839|C|3.125
1015349|C|3.125
1009667|C|3.625
474747|FTG|0.75
474893|C|0.375
1000574|C|0.625
1006544|C|0.625
1006601|C|0.75
1006534|C|0.75
470422|C|0.875
465466|C|0.875
472046|C|0.875
465467|C|1.125
1006599|C|1.125
465468|C|1.125
465471|C|1.375
465469|C|1.375
470421|C|1.625
468314|C|1.625
473359|C|2.125
465470|C|2.125
1006856|C|2.375
1006518|C|2.625
1006549|C|2.625
1006602|FTG|0.375
1007746|FTG|0.5
470429|FTG|0.625
472845|FTG|0.75
470431|FTG|0.875
470430|FTG|0.875
472807|FTG|0.875
1008911|FTG|1.125
470423|FTG|1.125
1006570|FTG|1.125
470424|FTG|1.125
470426|FTG|1.375
470425|FTG|1.375
470427|FTG|1.625
470428|FTG|1.625
1006490|FTG|2.125
1006465|FTG|2.125
1006519|FTG|2.625
1006529|FTG|2.625
1016857|FTG|3.125
1008910|FTG|3.125
1000617|C|0.375
1006567|C|0.375
1006607|C|0.5
473221|C|0.5
1006524|C|0.625
465452|C|0.625
1000606|C|0.625
1006552|C|0.75
468452|C|0.75
1006458|C|0.875
465454|C|0.875
470414|C|1.125
465455|C|1.125
465450|C|1.125
470415|C|1.375
465456|C|1.375
1006545|C|1.375
470416|C|1.625
465457|C|1.625
472791|C|1.625
459328|C|2.125
472685|C|2.125
465458|C|2.125
474683|C|2.625
474685|C|2.625
1006500|C|2.625
1008605|C|3.125
1008603|C|3.125
1006568|C|0.375
473502|C|0.5
1000605|C|0.5
465472|C|0.625
1006479|C|0.625
1006535|C|0.75
460288|C|0.75
1000608|C|0.875
1010313|C|0.875
465473|C|0.875
1009665|C|0.875
1006480|C|0.625
470417|C|1.125
468313|C|1.125
470418|C|1.375
470217|C|1.375
1006546|C|1.375
470419|C|1.625
470420|C|1.625
1006547|C|1.625
472684|C|2.125
1006536|C|2.125
1006475|C|2.125
1009659|C|2.625
1006554|C|2.625
1006572|C|2.625
1008604|C|3.125
1008602|C|3.125
1008565|FNPT|
1009888|FNPT|
472967|C|0.5
1010314|FTG|0.375
465460|C|0.5
465461|C|0.625
1006538|C|0.75
465462|C|0.875
465463|C|1.125
459029|C|1.125
459030|C|1.125
458989|C|1.25
465465|C|1.375
458988|C|1.375
472792|C|1.625
1006593|C|2.125
1008968|FTG|0.375
1016002|C|1.466
1010428|C|1.625
1010429|C|2.125
1007598|C|2.5
1008560|C|3
1011678|C|1.625
1011679|C|1.625
1011681|C|1.625
1011680|C|1.625
1006853|C|2.125
1006854|C|2.125
1006855|C|2.125
1009020|C|1.5
1006821|C|2
1008969|C|2.125
464332||0.25
1007655||0.312
459772||0.375
1007001||0.375
1007002||0.5
1007003||0.625
1007004||0.75
472196||0.875
464338||1.125
464339||1.375
464340||1.625
464341||2.125
1007008||2.625
1009024||3.125
1012913||4.125
1009064|C|0.75
473565|C|1.125
1009055|C|1.625
1008970|C|2.125
1011608|SWT|1.125
1011569|SWT|1.625
1011572|SWT|2.125
1009627|SWT|2.5
1009789|MIPT|0.75
1006822|SOLDER|1.315
1006830|FNPT|1.315
1006823|SOLDER|1.315
1006831|FNPT|1.25
1007626|FNPT|1.5
1006824|SOLDER|1.9
1006832|FNPT|1.5
1006825|SOLDER|2.375
1006833|FNPT|
473255||0.375
470258||0.5
469426||0.625
471176||0.625
1002156||0.75
469428||1.125
469429||1.375
1002157||1.625
1002158||2.125
1002159||2.625
1010747||0.25
464324||0.25
1009905|FNPT|0.375
1000619|FNPT|0.5
1006841|FNPT|0.875
1009056|FNPT|0.875
1006792|FNPT|1
