material_number|fitting_type|manual_volume_estimation
1009905|coupling|
1000619|coupling|
1006841|coupling|
1009056|coupling|
1006792|coupling|
1006793|coupling|
1006794|coupling|
1006795|coupling|
1009626|coupling|
489-5260|coupling|
1007597|coupling|
1009377|coupling|
458394|coupling|
1009053|coupling|
473576|coupling|
458982|coupling|
459733|coupling|
1006747|coupling|
1009103|coupling|
1015950|coupling|
1011613|coupling|
1009663|cap|
1006569|cap|
1006525|cap|
1006563|cap|
458391|cap|
1006526|cap|
458983|cap|
459729|cap|
474692|cap|
1009661|cap|
474694|cap|
1012949|cap|
1009639|clamp|5
1006521|coupling|
473517|coupling|
1009664|coupling|
465464|coupling|
1008914|coupling|
465443|coupling|
465444|coupling|
1006588|coupling|
465445|coupling|
1000579|coupling|
465446|coupling|
1000578|coupling|
465447|coupling|
1000577|coupling|
465448|coupling|
1000576|coupling|
1006587|coupling|
1012839|coupling|
1015349|coupling|
1009667|coupling|
474747|coupling|
474893|coupling|
1000574|coupling|
1006544|coupling|
1006601|coupling|
1006534|coupling|
470422|coupling|
465466|coupling|
472046|coupling|
465467|coupling|
1006599|coupling|
465468|coupling|
465471|coupling|
465469|coupling|
470421|coupling|
468314|coupling|
473359|coupling|
465470|coupling|
1006856|coupling|
1006518|coupling|
1006549|coupling|
1006602|coupling|
1007746|coupling|
470429|coupling|
472845|coupling|
470431|coupling|
470430|coupling|
472807|coupling|
1008911|coupling|
470423|coupling|
1006570|coupling|
470424|coupling|
470426|coupling|
470425|coupling|
470427|coupling|
470428|coupling|
1006490|coupling|
1006465|coupling|
1006519|coupling|
1006529|coupling|
1016857|coupling|
1008910|coupling|
1000617|elbow_45|
1006567|elbow_90|
1006607|elbow_45|
473221|elbow_90|
1006524|elbow_45|
465452|elbow_90|
1000606|elbow_90|
1006552|elbow_45|
468452|elbow_90|
1006458|elbow_45|
465454|elbow_90|
470414|elbow_45|
465455|elbow_90|
465450|elbow_90|
470415|elbow_45|
465456|elbow_90|
1006545|elbow_90|
470416|elbow_45|
465457|elbow_90|
472791|elbow_90|
459328|elbow_90|
472685|elbow_45|
465458|elbow_90|
474683|elbow_45|
474685|elbow_90|
1006500|elbow_90|
1008605|elbow_45|
1008603|elbow_90|
1006568|elbow_90|
473502|elbow_90|
1000605|elbow_90|
465472|elbow_90|
1006479|elbow_90|
1006535|elbow_45|
460288|elbow_90|
1000608|elbow_45|
1010313|elbow_90|
465473|elbow_90|
1009665|elbow_90|
1006480|elbow_45|
470417|elbow_45|
468313|elbow_90|
470418|elbow_45|
470217|elbow_90|
1006546|elbow_90|
470419|elbow_45|
470420|elbow_90|
1006547|elbow_90|
472684|elbow_45|
1006536|elbow_90|
1006475|elbow_90|
1009659|elbow_45|
1006554|elbow_90|
1006572|elbow_90|
1008604|elbow_45|
1008602|elbow_90|
1008565|flange|5
1009888|flange|5
1008967|flange|5
472967|coupling|
1010314|coupling|
465460|tee|
465461|tee|
1006538|tee|
465462|tee|
465463|tee|
459029|tee|
459030|tee|
458989|tee|
465465|tee|
458988|tee|
472792|tee|
1006593|tee|
1008968|tee|
1016002|tee|
1010428|tee|
1010429|tee|
1007598|tee|
1008560|tee|
1011678|tee|
1011679|tee|
1011681|tee|
1011680|tee|
1006853|tee|
1006854|tee|
1006855|tee|
1009020|tee|
1006821|tee|
1008969|tee|
464332|tube|
1007655|tube|
459772|tube|
1007001|tube|
1007002|tube|
1007003|tube|
1007004|tube|
472196|tube|
464338|tube|
464339|tube|
464340|tube|
464341|tube|
1007008|tube|
1009024|tube|
1012913|tube|
1009064|union|
473565|union|
1009055|union|
1008970|union|
1011608|union|
1011569|union|
1011572|union|
1009627|union|
1009789|valve_arrester|10
1006822|valve_ball|
1006830|valve_ball|
1006823|valve_ball|
1006831|valve_ball|
1007626|valve_ball|
1006824|valve_ball|
1006832|valve_ball|
1006825|valve_ball|
1006833|valve_ball|
473255|valve_check|
470258|valve_check|
469426|valve_check|
471176|valve_check|
1002156|valve_check|
469428|valve_check|
469429|valve_check|
1002157|valve_check|
1002158|valve_check|
1002159|valve_check|
470298|valve_check|
1010747|valve_schrader|
464324|valve_schrader|
