material_number|material_name|material_group
1036367|SMP, FAN LOC1 APD PART23|9XA
1036381|SMP, FAN LOC2 APD PART17|9XA
1036389|SMP, FAN LOC2 APD PART25|9XA
2013892-MV|VCD-43-43.875x17.5|60CA
475413|COMP,ZPD91KCE-TFE-250,575V|9XA
483382|COMP,ZPVU2082E-7ZD-250,460V|9XA
2013750-MV|EM-30-14.625X78.625|60BA
2011552-MV|33-APH-4-100-II-200|50CB
2007915-MV|24-APM-4-100-II-100|50BG
MP20591|CUP,SUCTION,1.5 BELLOW|NP139
2006060-MV|AMD-23-39.75x22.75|60CA
2006068-MV|VCD-23-11.75x11.75|60CA
2000618-MV|LV,1.50,NAR PROF,J BL|61AA
2000728-MV|VCD-23-15.75x17.75|60CA
2000744-MV|VCD-33-68.375x38.875|60CA
2000745-MV|33-APH-4-100-II-300|50CB
2000750-MV|VCD-33-68.375x38.875|60CA
2000755-MV|LV,1.50,NAR PROF,J BL|61AA
2000756-MV|VCD-33-68.375x38.875|60CA
2000759-MV|VCD-23-38x57.875|60CA
2013740-MV|VCD-43-12.75x68.75|60CA
2013807-MV|VCD-43-28.875x43.875|60CA
MP18899|BELT,COGGED,POWERGRIP|NP139
MP18905|FIXTURE,G0.125|NP139
2000491-MV|XUEF-413-10-BI-II-30-G|50BA
2002792-MV|XUEF-415-BI-G|50BA
1036395|SMP, FAN LOC3 APD PART11|9XA
MP18751|SEAL BELTS,BENDER ATC CLAMP|NP139
475410|COMP,ZP61K5E-TF5-130,208/230V|9XA
1036412|SMP, FAN LOC3 APD PART28|9XA
2006347-MV|VCD-33-40x14.375|60CA
2014021-MV|AMD-23-52.75x29.75|60CA
2014025-MV|VCD-33-44.063x27.5|60CA
2013941-MV|VCD-43-39.875x24.875|60CA
2013990-MV|VCD-43-45.875x49.875|60CA
2013994-MV|VCD-43-34x59.875|60CA
2013999-MV|VCD-23-21.75x17.75|60CA
2013985-MV|DX38S04S12-60X52.5-RHN|41AA
1003102|ELEC,KIT,MOUNT OVRLD,CL10,SQD-LAD7B10|9XA
1003099|TSTAT,FOR ENCLOSURE,SCE-TEMNO|9XA
1003065|TRANSF,208V,1.5KVA,SQD 9070TF1500D3|9XA
1003067|TRANSF,240/480,1KVA,SQD 9070T1000D31|9XA
2007920-MV|VCD-43-33.375x74.875|60CA
1010981|GLOVE,CUT RESISTANT,KEVLAR,SIZE 10,PR|NP023
1010985|GLOVE,LEATHER,STARCH CUFF,SIZE L,PR|NP023
HAZ2617|PNT,LQD,ACRYENML,YELLOWHARDHAT,V2100,CN|NP050
1007597|ADPTR,CXFTG,0.875OD,CPR|9XA
2002522-MV|VCD-23-22.875x41.875|60CA
2002524-MV|24-APH-4-60-II-200|50CA
2000334-MV|33-APH-4-100-II-250|50CB
2000333-MV|33-APH-4-100-II-250|50CB
2013771-MV|20-APM-4-100-I-50|50BG
2013805-MV|VCD-23-12.625x33.875|60CA
1003002|SUBPNL,17X9X0.1,FLAT,SS/GALV|9XA
1003012|SW,TOGGLE,20A,120/277,2P,BRN,P&S 1226|9XA
1003013|SW,TOGGLE,20A,120/270V,PS PS20AC3CSL|9XA
1003032|SW,SAFETY,30A,240V,3P,SQD D321N|9XA
1003033|SW,SAFETY,30A,240V,3P,SQD D321NRB|9XA
1003034|SW,TOGGLE,20A,120/277V,1P,PS  PS20AC1CSL|9XA
1003037|CNTRL,DISP,WALL MNT,CAREL,PGD0000WZ0|9XA
2016406-MV|33-APH-4-100-I-100|50CB
2016410-MV|VCD-23-8.875x6.875|60CA
2015797-MV|VCD-43-47.875x23.875|60CB
2014033-MV|VCD-23-77.875x43.875|60CA
MP16060|SOLENOID,VALVE SERVO,100L|NP139
483088|IOM,UNISON CONTROLS LITE,REV2.4,JUL18|9XA
2013774-MV|VCD-43-47.25x44.875|60CA
2013784-MV|20-APM-4-100-II-150|50BG
2013785-MV|20-APM-4-100-II-150|50BG
2000330-MV|ICD-44-79.875x122.875|60BG
2000329-MV|ICD-44-79.875x121.875|60BG
2000328-MV|ICD-44-84.875x20|60BG
2000327-MV|ICD-44-84.875x101.875|60BG
1008420|REACTOR,LINE,2.5MH,18A,NEMA3,RL-01833|9XA
1008377|REACTOR,LINE,2.5MH,12A,NEMA1,RL-01212|9XA
2016023-MV|EM-30-21.1X21.1|60BA
2016026-MV|16-APH-4-70-III-100|50CB
MP16002|ASM,ROTATOR,COMPLETE|NP139
2016158-MV|VCD-23-36.375x48.875|60CA
MP17452|COUPLING,HUB,L095 SIZE CLASS,1.125 SHAFT|NP139
2016159-MV|VCD-23-94.5x48.875|60CA
2013878-MV|VCD-23-53.75x33.75|60CA
MP12700|VALVE,SOLENOID,SERIES H602|NP139
MP16023|KIT,LATCH|NP139
MP16516|ASM,SUCTION CUPS,GROUP,3|NP139
1006989|ISOL,SPR,T2D-435 COATED 2IN|9XA
MP15008|SET,BLADE,SS W/CORNER BLOCK|NP139
MP16771|SPRING|NP139
1002516|ENCL,48X37X12,NEMA3R-4X-OIL,SS304FLGD|9XA
2015309-MV|VCD-43-23.875x6|60CA
1010362|BLKHD,SOCK,2,PVC|9XA
1009621|FL,PLTD,20X24X4,MERV 8,HC,SSP|9XA
1033830|GRD,INLET,411648|9XA
33-QEM|33-QEM|50BG
486318|COMP,YAVU1981E-7XE-ESY,575V|9XA
36-QEM|36-QEM|50BG
1002029|COMP,SH140A7ALB(120H0205),575V|9XA
1036391|SMP, FAN LOC2 APD PART27|9XA
2016243-MV|VCD-43-41.625X29.187|60CB
2013929-MV|VCD-43-13.75x11.75|60CA
486331|COMP,YA275K1E-TE5-GCD-208/230V|9XA
MP24001|MOTOR,7.5HP,3600RPM,230V/460V,DPPE,184T|NP139
2016161-MV|VCD-43-47.875x23.875|60CB
2016336-MV|EM-30-35.8X35.8|60BA
MP15179|CLAMP,UPPER JAW|NP139
1016507|BRKT,COND MOUNT,UNIV,BK-12B,S&T|9XA
2013881-MV|27-APM-4-100-II-200|50BG
MP15010|ACTUATOR,CYL,AIR|NP139
MP15176|CYL,PUSHER|NP139
454190|ISOL,THRST RSTRNT,HSR-1-70,GRN,PAIR|9XA
483086|SNSR,TEMP,THERMISTOR,085-0271-00|9XA
2016344-MV|VCD-43-41.875x20.875|60CB
2013917-MV|24-APM-4-90-II-150|50BG
2016309-MV|VCD-43-25.875x55.875|60CB
2016322-MV|VCD-43-59.875x127|60CB
1003068|TRANSF,240/480,1.5KVA,SQD 9070T1500D31|9XA
2014041-MV|VCD-23-22x47.875|60CA
2014121-MV|24-APH-4-95-II-150|50CB
2014075-MV|24-APH-4-95-II-150|50CB
2000335-MV|VCD-23-7.875x7.875|60CA
2000332-MV|40-APH-4-95-II-250|50CB
2000331-MV|40-APH-4-95-II-250|50CB
MP13111|DIAPHRAGM|NP139
2016318-MV|USF-22-5-B1-00-01-01|50BD
2016469-MV|EM-30-30.375X118.625|60BA
2016485-MV|24-APM-4-100-I-50|50BG
1016608|WIRE,THHN,12GA,90DEG,600V,YELLOW|9XA
388001|VFD, ACH180-04S-07A8-1, 230/1,7.4A ABB|9XA
388023|VFD,ACH180-04S-12A6-4, 460/3,12A ABB|9XA
T2294|STRIPPER,1.500|NP139
382001|WIRE,THHN,1GA,90DEG,600V,BLK|9XA
382733|ACT,ELEC,HNYWL,MS8209F1003/B|9XA
MP15545|BEARING,LINEAR,CARRIAGE,Y AXIS|NP139
MP16504|CONNECTOR,G14M|NP139
2013860-MV|VCD-43-104.75x32.75|60CA
2014685-MV|HW12C02H10-52.5X80.5-LHN|41AA
MP12304|LAMP|NP139
MP12397|COUPLING,S-FLEX|NP139
1022704|CNFG, RACK6 FILTER4|9XA
2000489-MV|CW58S06S12-54X80-RH|41AA
1022606|CNFG, FURNACE6|9XA
1022642|DMPR MATVAR10|9XA
2014039-MV|VCD-23-41.375x41.875|60CA
2015033-MV|VCD-23-33.875x42.375|60CA
2015793-MV|VCD-43-47.875x23.875|60CB
2015822-MV|VCD-43-8.875x59.875|60CB
2010905-MV|VCD-33-50.75x6.75|60CA
2010616-MV|30-APH-4-90-III-400|50CB
GRIR008|GRIR008|9XA
GRIR016|GRIR016|9XA
GRIR028|GRIR028|9XA
MP15158|VALVE,CROSSCHECK,DIRECTIONAL CONTROL,DCV|NP139
60-CFDW|CENTRIFUGAL FAN|50BA
18-QEP|PLENUM FAN|50CB
1022748|CNFG, PURCH DOOR S|9XA
1022682|CNFG, RACK1 FILTER2|9XA
2000914-MV|VCD-43-35.875x17.5|60CA
2000915-MV|20-APM-4-80-I-75|50BG
2015999-MV|15-APM-4-70-II-50|50BG
2016007-MV|15-APM-4-65-II-50|50BG
2016008-MV|15-APM-4-65-II-50|50BG
1022584|CNFG, CORE HX2|9XA
1040029|SUBASSM, SURE-AIRE FAN LOC1|9XA
2014215-MV|24-APH-4-75-II-150|50CB
MP4360|KIT,LATCH,RIGGING HOOK|NP139
311206|MTR,182T,BA,EM3607T|9XA
2011519-MV|AMD-33-58.75x30.75|60CA
2016436-MV|VCD-43-18.625x39.875|60CB
2016514-MV|VCD-43-56.875x16.875|60CB
2016531-MV|VCD-43-31.875x7.875|60CB
2016532-MV|VCD-43-10.25x29.875|60CB
2016544-MV|VCD-43-14.875x48|60CB
2000342-MV|SD58S01F06-25.5X18-RH|41AA
415993|CS,HH,.313-18X1.25,GR5,ZP|9XA
415997|NUT,HEX,.563-12,GR5,ZP|9XA
2001941-MV|VCD-43-26.875x36.438|60CA
2014268-MV|QEI-15-300-100-G|50GA
2013863-MV|VCD-33-27.875x104.875|60CA
2013838-MV|22-APM-4-100-I-75|50BG
312047|MTR,215T,BA,EM3714T-5G|9XA
2002489-MV|VCD-23-40.875x14.875|60CA
2013922-MV|VCD-43-50.188x45.188|60CA
2016195-MV|24-APH-4-100-II-100|50CB
458997|CAP,FNPT,1.5,BLK MI|9XA
458988|TEE,CXCXC,1.375X1.3750.875OD,CPR|9XA
1009567|COVER,PLATE,1G,SS,TB 58C6|9XA
1002665|ENCL,48X36X16,NEMA 4,12,13,STEEL|9XA
1022726|CNFG, VFD PANEL4 VFD3|9XA
2000539-MV|16-APH-4-100-I-20|50CA
2000540-MV|VCD-23-49.875x19.875|60CA
1022624|CNFG, FAN LOC2 FAN2|9XA
1000455|AF 9-9|9XA
1000956|CL_HW_CONFIG|9XA
1022721|CNFG, VFD PANEL3 VFD4|9XA
386474|EXTENSION CONNECTOR, LV-HS-EX1-10FT|9XA
1001949|COMP,HLJ083T4LC6 (120U1401),460V|9XA
DX38|3/8IN DIRECT EXPANSION COIL|41AA
MP21023|BEARING,ROLLER,FOR GUIDE PIN|NP139
MP16517|SWITCH,VACUUM,24V,NPN-PNP|NP139
MP15750|VALVE,2WAY,BALANCING,MIN PRESSURE|NP139
MP3428|ASM,MICROSWITCH|NP139
MP4192|SWITCH,FOOT,COMPLETE,600V,2 NO,2 NC|NP139
1022692|CNFG, RACK3 FILTER4|9XA
2016109-MV|VCD-23-45.875x71.875|60CA
2014458-MV|VCD-23-44.94x44.875|60CA
2014485-MV|VCD-23-82.875x24|60CA
1022690|CNFG, RACK3 FILTER2|9XA
1022685|CNFG, RACK2 FILTER1|9XA
2013848-MV|USF-15-5-B1-00-01-01|50BD
1036402|SMP, FAN LOC3 APD PART18|9XA
1036390|SMP, FAN LOC2 APD PART26|9XA
2016079-MV|VCD-23-100.438X55.875|60CA
2015997-MV|VCD-43-28.875x19.813|60CB
2015996-MV|VCD-43-27.375x11.938|60CB
1022634|DMPR MATVAR2|9XA
1022769|CNFG, VALVE4|9XA
2014469-MV|QEI-12-300-50-G|50GA
2014476-MV|VCD-23-35.875x58.875|60CA
2014492-MV|VCD-23-13.875x107.875|60CA
2014508-MV|VCD-43-39.875x15.875|60CA
PLG22|PLUG FAN|50BA
383525|CNTRL,INTERFACE,CARD,BACNET,PCO1000WD0|9XA
1022588|CNFG, COIL4|9XA
2014260-MV|20-APH-4-50-I-75|50CB
486328|COMP,YA219K1E-TE5-GCD,208/230V|9XA
2016119-MV|VCD-43-80.75x11.75|60CB
2016121-MV|27-APM-4-100-II-150|50BG
2016147-MV|24-APM-4-100-II-150|50BG
2000494-MV|HW58S04S10-39X19-RH|41AA
2000499-MV|HW58S04Q08-25.5X18-RH|41AA
1022605|CNFG, FURNACE5|9XA
335718|WHL,STL,315X90MM,R63D,0.875,SM12,RL6002|9XA
335709|WHL,STL,400X112MM,R63D,HUB BF16,RAL6002|9XA
335764|CONE,INLT,280MM,ALUM,1TAP|9XA
486326|COMP,YA182K1E-TFD-ERT,460V|9XA
2013799-MV|22-APM-4-100-I-75|50BG
2001930-MV|VCD-33-26.875x36.875|60CA
1022615|FAN LOC1 MATVAR1|9XA
1022641|DMPR MATVAR9|9XA
1013260|ELEC,KIT,DISCON LUG,ABB OZXA-24|9XA
1016549|CL_DX_38X38L0638S14-01E|9XA
304591|MTR,145T,BA EM3154T-5|9XA
415278|WSHR,LOCK,SPLIT,.625,MECH ZP|9XA
416384|CS,HH,.375-16X1.5,SS,18-8|9XA
1002190|ACCUMULATOR,WESTERMEYER,AH3-04|9XA
1008304|COMP,ZPT108K5E-TF5-130,208/230V|9XA
1022715|CNFG, VFD PANEL2 VFD4|9XA
1022582|CNFG, HUM GENERATOR|9XA
1022729|CNFG, VFD PANEL4 VFD6|9XA
1022735|CNFG, PURCH DOOR F|9XA
1022740|CNFG, PURCH DOOR K|9XA
1022705|CNFG, PANEL1|9XA
1022762|CNFG, GENERIC3|9XA
1010206|PIPE,6IN,BLACK,SCH40,PRECUT|9XA
1009628|THRDLT,2.5X3,STL|9XA
2016098-MV|VCD-23-22.75x28.75|60CA
1011617|CNTRL,THERMOWELL,.25,BRS,CAREL1413306AXX|9XA
2016248-MV|USF-13-5-B1-00-01-01|50BD
MP12271|TOOL,MOBILE,RT|NP139
MP12288|FITTING|NP139
MP12289|FITTING|NP139
MP13004|INSERT,BIT,DRILL|NP139
MP13012|SCREW,TORX PLUS,DRILL BIT,INSERT|NP139
2001127-MV|DX38S08S10-81X70-RH|41AA
2004301-MV|VCD-43-60.875x23.688|60CA
2016027-MV|EM-30-21.1X21.1|60BA
1016511|COMP,ZPDU42MCE-TED-273,460V|9XA
1016641|SW,TOGGLE,PILOT,20A,277V,HBL1223PL|9XA
483069|COMP,EMERSON,ZPV0412E-2E9-130|9XA
2014001-MV|HW58S02H11-36X29-LHN|41AA
2013979-MV|VCD-43-59.875x63.875|60CA
2000701-MV|30-APH-4-95-III-250|50CA
2000715-MV|ICD-44-24.66x76.7|60BG
2000717-MV|ICD-44-139.875x33.875|60BG
2000578-MV|VCD-33-40.875x9.31|60CA
328145|MTR,182T,BA,36B101S532G2|9XA
2000523-MV|VCD-23-26.188x18|60CA
2000537-MV|EM-30-49.625X13.625|60BA
1036376|SMP, FAN LOC2 APD PART12|9XA
1036400|SMP, FAN LOC3 APD PART16|9XA
1036404|SMP, FAN LOC3 APD PART20|9XA
